insee_com,Année,nb_deces
01197,2023,5
01198,2018,1
01198,2019,1
01198,2020,1
01198,2021,2
01198,2022,1
01198,2023,1
01199,2018,35
01199,2019,30
01199,2020,25
01199,2021,22
01199,2022,36
01199,2023,17
01200,2018,1
01200,2020,3
01200,2023,2
01202,2018,59
01202,2019,57
01202,2020,86
01202,2021,80
01202,2022,70
01202,2023,89
01203,2018,9
01203,2019,6
01203,2020,6
01203,2021,12
01203,2022,6
01203,2023,6
01204,2018,4
01204,2019,4
01204,2020,3
01204,2021,5
01204,2022,5
01204,2023,4
01205,2018,7
01206,2018,1
01206,2019,1
01206,2020,2
01206,2021,2
01206,2022,4
01206,2023,3
01207,2018,1
01207,2021,1
01207,2022,1
01207,2023,1
01208,2018,2
01208,2019,3
01208,2020,3
01208,2021,1
01208,2022,2
01208,2023,1
01209,2018,4
01209,2020,6
01209,2021,6
01209,2022,3
01209,2023,4
01210,2018,2
01210,2019,3
01210,2020,3
01210,2022,3
01211,2018,4
01211,2019,8
01211,2020,10
01211,2021,11
01211,2022,11
01211,2023,8
01212,2018,4
01212,2019,9
01212,2020,7
01212,2021,9
01212,2022,6
01212,2023,5
01213,2018,8
01213,2019,6
01213,2020,8
01213,2021,8
01213,2022,11
01213,2023,5
01214,2018,2
01214,2020,2
01214,2021,1
01214,2023,1
01215,2018,1
01215,2020,1
01215,2021,1
01215,2023,2
01216,2018,14
01216,2019,12
01216,2020,24
01216,2021,15
01216,2022,21
01216,2023,17
01219,2018,1
01219,2020,1
01219,2021,2
01219,2022,2
01219,2023,2
01221,2018,1
01224,2018,18
01224,2019,17
01224,2020,17
01224,2021,21
01224,2022,15
01224,2023,20
01225,2018,2
01225,2019,1
01225,2020,2
01225,2021,3
01225,2022,2
01225,2023,2
01227,2018,1
01227,2019,3
01227,2020,4
01227,2021,5
01227,2022,3
01227,2023,1
01228,2018,1
01228,2019,1
01228,2020,5
01228,2022,6
01228,2023,6
01229,2018,7
01229,2019,12
01229,2020,11
01229,2021,12
01229,2022,10
01229,2023,6
01230,2018,2
01230,2019,2
01230,2020,2
01230,2021,3
01230,2022,2
01231,2018,18
01231,2019,15
01231,2020,15
01231,2021,15
01231,2022,21
01231,2023,12
01232,2018,15
01232,2019,16
01232,2020,14
01232,2021,18
01232,2022,20
01232,2023,13
01233,2018,1
01233,2019,2
01233,2020,4
01233,2021,2
01233,2022,4
01233,2023,2
01234,2018,2
01234,2019,4
01234,2021,1
01234,2022,1
01234,2023,3
01235,2018,9
01235,2019,9
01235,2020,5
01235,2021,11
01235,2022,16
01235,2023,8
01236,2018,5
01236,2019,4
01236,2020,7
01236,2021,13
01236,2022,9
01236,2023,5
01237,2018,13
01237,2019,2
01237,2020,6
